Date,Open,High,Low,Close,Adj Close,Volume
2020-03-09,38.450001,40.189999,36.299999,37.630001,35.945782,25174600
2020-03-10,39.520000,40.689999,37.630001,39.610001,37.837166,32436700
2020-03-11,38.599998,38.820000,34.230000,36.189999,34.570236,25003500
2020-03-12,29.200001,31.950001,26.559999,31.250000,30.001736,31542400
2020-03-13,36.240002,37.669998,31.709999,36.490002,35.032425,40778100
2020-03-16,30.500000,32.799999,29.549999,30.400000,29.185688,31345200
2020-03-17,31.400000,33.290001,30.059999,31.870001,30.596968,27033700
2020-03-18,29.170000,30.160000,25.320000,26.610001,25.547077,38293300
2020-03-19,25.500000,27.690001,23.340000,25.570000,24.548618,41664900
2020-03-20,27.000000,27.900000,24.330000,24.600000,23.617365,29675100
2020-03-23,25.000000,25.000000,21.910000,22.129999,21.246029,26808100
2020-03-24,24.200001,26.480000,23.799999,25.920000,24.884636,25799300
2020-03-25,25.930000,30.570000,25.730000,29.030001,27.870415,25020600
2020-03-26,29.340000,31.670000,29.280001,30.490000,29.272093,25660000
2020-03-27,28.780001,29.500000,28.020000,28.240000,27.111969,20802400
2020-03-30,28.900000,29.459999,28.309999,28.990000,27.832008,15768600
2020-03-31,29.200001,29.500000,27.430000,27.889999,26.775948,18904200
2020-04-01,26.900000,27.280001,26.049999,26.709999,25.643082,19826600
2020-04-02,26.950001,27.799999,26.309999,27.020000,25.940701,15722400
2020-04-03,26.850000,26.889999,25.000000,25.500000,24.481417,18968100
2020-04-06,27.150000,28.299999,26.740000,27.860001,26.747147,21414000
2020-04-07,29.450001,30.500000,29.170000,29.170000,28.004820,21514700
2020-04-08,29.299999,30.549999,28.580000,29.730000,28.542450,19894100
2020-04-09,30.340000,30.879999,29.459999,29.650000,28.465647,17525600
2020-04-13,29.760000,30.299999,28.700001,30.240000,29.032080,18028700
2020-04-14,30.940001,31.650000,30.000000,30.209999,29.003275,17769700
2020-04-15,29.480000,30.240000,29.000000,29.650000,28.465647,16748200
2020-04-16,30.100000,30.379999,28.799999,28.799999,27.649597,20734200
2020-04-17,29.549999,30.059999,29.030001,29.580000,28.398441,18615000
2020-04-20,29.000000,29.490000,28.520000,28.990000,27.832008,17775000
2020-04-22,28.889999,29.150000,28.629999,28.860001,27.707203,20198900
2020-04-23,29.200001,29.629999,27.610001,28.049999,26.929556,21708800
2020-04-24,27.629999,27.700001,24.000000,24.299999,23.329348,73978000
2020-04-27,25.500000,26.200001,25.110001,25.690001,24.663826,32132800
2020-04-28,27.219999,29.250000,27.110001,29.139999,27.976017,43232700
2020-04-29,30.040001,30.209999,28.730000,29.559999,28.379240,24628700
2020-04-30,28.309999,28.780001,27.850000,28.500000,27.361582,23935300
2020-05-04,27.370001,27.760000,26.990000,27.760000,26.651140,16586000
2020-05-05,28.020000,28.549999,27.559999,27.799999,26.689543,15799600
2020-05-06,27.959999,28.129999,26.750000,26.990000,25.911898,20312700
2020-05-07,27.440001,27.450001,26.070000,26.260000,25.211058,26405900
2020-05-08,27.100000,27.709999,26.799999,27.100000,26.017506,17576000
2020-05-11,26.900000,28.129999,26.799999,27.270000,26.180712,17332500
2020-05-12,27.440001,27.549999,26.260000,26.309999,25.259062,24140900
2020-05-13,26.650000,26.850000,25.230000,25.549999,24.529417,26406100
2020-05-14,25.000000,26.799999,24.750000,26.650000,25.585478,36194500
2020-05-15,26.500000,27.080000,25.840000,26.150000,25.105452,23436500
2020-05-18,27.129999,27.780001,26.650000,27.400000,26.305519,18756800
2020-05-19,27.260000,27.780001,26.660000,26.660000,25.595081,16726100
2020-05-20,27.000000,27.639999,26.770000,27.330000,26.238317,22799800
2020-05-21,27.639999,29.290001,27.480000,29.260000,28.091223,30519600
2020-05-22,28.860001,29.150000,27.910000,28.510000,27.371181,26947900
2020-05-25,30.000000,31.500000,29.799999,31.500000,30.241749,31886800
2020-05-26,32.500000,32.930000,30.230000,30.790001,29.560110,30820300
2020-05-27,31.629999,31.629999,30.500000,30.900000,29.665716,19310400
2020-05-28,30.610001,31.459999,30.209999,30.790001,29.560110,20732700
